'Elapsed time','FECG','UC'
'hh:mm:ss.mmm','mV','mV'
'0:18.928',4.845,0.710
'0:18.930',4.825,0.710
'0:18.932',4.820,0.715
'0:18.934',4.825,0.715
'0:18.936',4.820,0.710
'0:18.938',4.835,0.710
'0:18.940',4.825,0.720
'0:18.942',4.830,0.710
'0:18.944',4.845,0.715
'0:18.946',4.835,0.710
'0:18.948',4.845,0.715
'0:18.950',4.825,0.715
'0:18.952',4.830,0.720
'0:18.954',4.820,0.710
'0:18.956',4.810,0.715
'0:18.958',4.830,0.710
'0:18.960',4.840,0.710
'0:18.962',4.830,0.720
'0:18.964',4.835,0.715
'0:18.966',4.855,0.725
'0:18.968',4.850,0.720
'0:18.970',4.830,0.715
'0:18.972',4.810,0.715
'0:18.974',4.820,0.710
'0:18.976',4.825,0.720
'0:18.978',4.820,0.710
'0:18.980',4.830,0.710
'0:18.982',4.850,0.715
'0:18.984',4.850,0.715
'0:18.986',4.845,0.725
'0:18.988',4.825,0.705
'0:18.990',4.815,0.710
'0:18.992',4.815,0.715
'0:18.994',4.820,0.720
'0:18.996',4.825,0.725
'0:18.998',4.845,0.705
'0:19.000',4.855,0.720
'0:19.002',4.845,0.725
'0:19.004',4.830,0.715
'0:19.006',4.830,0.705
'0:19.008',4.815,0.710
'0:19.010',4.810,0.715
'0:19.012',4.820,0.715
'0:19.014',4.840,0.725
'0:19.016',4.850,0.705
'0:19.018',4.845,0.720
'0:19.020',4.835,0.720
'0:19.022',4.810,0.710
'0:19.024',4.830,0.710
'0:19.026',4.820,0.715
'0:19.028',4.820,0.710
'0:19.030',4.850,0.720
'0:19.032',4.855,0.720
'0:19.034',4.845,0.720
'0:19.036',4.825,0.720
'0:19.038',4.815,0.710
'0:19.040',4.810,0.715
'0:19.042',4.825,0.720
'0:19.044',4.825,0.710
'0:19.046',4.830,0.705
'0:19.048',4.840,0.720
'0:19.050',4.855,0.720
'0:19.052',4.825,0.720
'0:19.054',4.810,0.725
'0:19.056',4.830,0.700
'0:19.058',4.825,0.715
'0:19.060',4.835,0.710
'0:19.062',4.830,0.715
'0:19.064',4.835,0.730
'0:19.066',4.860,0.715
'0:19.068',4.840,0.715
'0:19.070',4.820,0.720
'0:19.072',4.810,0.715
'0:19.074',4.830,0.725
'0:19.076',4.825,0.700
'0:19.078',4.825,0.710
'0:19.080',4.835,0.720
'0:19.082',4.865,0.725
'0:19.084',4.850,0.720
'0:19.086',4.830,0.715
'0:19.088',4.820,0.720
'0:19.090',4.815,0.710
'0:19.092',4.825,0.710
'0:19.094',4.815,0.700
'0:19.096',4.815,0.715
'0:19.098',4.855,0.720
'0:19.100',4.850,0.715
'0:19.102',4.835,0.720
'0:19.104',4.835,0.720
'0:19.106',4.835,0.715
'0:19.108',4.815,0.710
'0:19.110',4.810,0.715
'0:19.112',4.815,0.710
'0:19.114',4.835,0.715
'0:19.116',4.840,0.720
'0:19.118',4.840,0.720
'0:19.120',4.835,0.710
'0:19.122',4.835,0.715
'0:19.124',4.845,0.710
'0:19.126',4.825,0.710
'0:19.128',4.810,0.720
'0:19.130',4.815,0.710
'0:19.132',4.825,0.720
'0:19.134',4.830,0.715
'0:19.136',4.835,0.725
'0:19.138',4.835,0.710
'0:19.140',4.850,0.710
'0:19.142',4.840,0.715
'0:19.144',4.825,0.710
'0:19.146',4.825,0.730
'0:19.148',4.835,0.705
'0:19.150',4.825,0.715
'0:19.152',4.820,0.720
'0:19.154',4.830,0.715
'0:19.156',4.840,0.720
'0:19.158',4.830,0.705
'0:19.160',4.835,0.710
'0:19.162',4.835,0.720
'0:19.164',4.850,0.715
'0:19.166',4.850,0.730
'0:19.168',4.820,0.710
'0:19.170',4.820,0.720
'0:19.172',4.825,0.715
'0:19.174',4.835,0.710
'0:19.176',4.825,0.715
'0:19.178',4.820,0.715
'0:19.180',4.855,0.725
'0:19.182',4.845,0.715
'0:19.184',4.840,0.715
'0:19.186',4.825,0.715
'0:19.188',4.815,0.710
'0:19.190',4.820,0.725
'0:19.192',4.810,0.700
'0:19.194',4.815,0.715
'0:19.196',4.850,0.710
'0:19.198',4.850,0.715
'0:19.200',4.840,0.720
'0:19.202',4.820,0.710
'0:19.204',4.830,0.715
'0:19.206',4.830,0.715
'0:19.208',4.815,0.710
'0:19.210',4.825,0.720
'0:19.212',4.855,0.710
'0:19.214',4.845,0.715
'0:19.216',4.835,0.715
'0:19.218',4.820,0.725
'0:19.220',4.835,0.710
'0:19.222',4.830,0.710
'0:19.224',4.820,0.710
'0:19.226',4.850,0.710
'0:19.228',4.835,0.710
'0:19.230',4.835,0.710
'0:19.232',4.835,0.720
'0:19.234',4.825,0.720
'0:19.236',4.825,0.725
'0:19.238',4.825,0.705
'0:19.240',4.830,0.710
'0:19.242',4.845,0.720
'0:19.244',4.840,0.710
'0:19.246',4.835,0.715
'0:19.248',4.825,0.710
'0:19.250',4.830,0.725
'0:19.252',4.825,0.710
'0:19.254',4.835,0.720
'0:19.256',4.845,0.705
'0:19.258',4.840,0.720
'0:19.260',4.835,0.715
'0:19.262',4.835,0.700
'0:19.264',4.845,0.715
'0:19.266',4.825,0.720
'0:19.268',4.815,0.725
'0:19.270',4.835,0.705
'0:19.272',4.835,0.705
'0:19.274',4.830,0.715
'0:19.276',4.830,0.715
'0:19.278',4.830,0.725
'0:19.280',4.840,0.705
'0:19.282',4.855,0.715
'0:19.284',4.835,0.720
'0:19.286',4.825,0.720
'0:19.288',4.830,0.715
'0:19.290',4.815,0.715
'0:19.292',4.835,0.700
'0:19.294',4.820,0.715
'0:19.296',4.825,0.715
'0:19.298',4.855,0.720
'0:19.300',4.855,0.725
'0:19.302',4.840,0.705
'0:19.304',4.830,0.710
'0:19.306',4.820,0.715
'0:19.308',4.825,0.710
'0:19.310',4.820,0.715
'0:19.312',4.820,0.705
'0:19.314',4.825,0.715
'0:19.316',4.850,0.720
'0:19.318',4.850,0.720
'0:19.320',4.845,0.720
'0:19.322',4.830,0.715
'0:19.324',4.820,0.715
'0:19.326',4.825,0.715
'0:19.328',4.815,0.710
'0:19.330',4.815,0.720
'0:19.332',4.835,0.710
'0:19.334',4.845,0.720
'0:19.336',4.850,0.725
'0:19.338',4.845,0.700
'0:19.340',4.830,0.715
'0:19.342',4.850,0.710
'0:19.344',4.820,0.715
'0:19.346',4.805,0.720
'0:19.348',4.825,0.710
'0:19.350',4.835,0.720
'0:19.352',4.840,0.715
'0:19.354',4.835,0.715
'0:19.356',4.830,0.720
'0:19.358',4.855,0.705
'0:19.360',4.830,0.715
'0:19.362',4.815,0.715
'0:19.364',4.830,0.720
'0:19.366',4.830,0.720
'0:19.368',4.840,0.720
'0:19.370',4.845,0.720
'0:19.372',4.840,0.710
'0:19.374',4.850,0.720
'0:19.376',4.820,0.715
'0:19.378',4.825,0.715
'0:19.380',4.815,0.710
'0:19.382',4.835,0.720
'0:19.384',4.840,0.715
'0:19.386',4.845,0.715
'0:19.388',4.850,0.720
'0:19.390',4.825,0.715
'0:19.392',4.815,0.715
'0:19.394',4.810,0.715
'0:19.396',4.820,0.720
'0:19.398',4.835,0.700
'0:19.400',4.840,0.720
'0:19.402',4.860,0.715
'0:19.404',4.840,0.720
'0:19.406',4.825,0.720
'0:19.408',4.825,0.710
'0:19.410',4.805,0.710
'0:19.412',4.815,0.710
'0:19.414',4.825,0.720
'0:19.416',4.835,0.715
'0:19.418',4.850,0.715
'0:19.420',4.840,0.710
'0:19.422',4.835,0.720
'0:19.424',4.820,0.720
'0:19.426',4.830,0.710
'0:19.428',4.815,0.715
'0:19.430',4.805,0.725
'0:19.432',4.840,0.725
'0:19.434',4.840,0.720
'0:19.436',4.835,0.715
'0:19.438',4.845,0.715
'0:19.440',4.830,0.720
'0:19.442',4.850,0.715
'0:19.444',4.825,0.710
'0:19.446',4.815,0.710
'0:19.448',4.830,0.725
'0:19.450',4.820,0.710
'0:19.452',4.830,0.720
'0:19.454',4.830,0.715
'0:19.456',4.830,0.710
'0:19.458',4.850,0.720
'0:19.460',4.840,0.705
'0:19.462',4.835,0.715
'0:19.464',4.835,0.710
'0:19.466',4.810,0.715
'0:19.468',4.830,0.720
'0:19.470',4.825,0.710
'0:19.472',4.820,0.710
'0:19.474',4.850,0.715
'0:19.476',4.830,0.720
'0:19.478',4.840,0.720
'0:19.480',4.840,0.715
'0:19.482',4.835,0.715
'0:19.484',4.840,0.715
'0:19.486',4.825,0.720
'0:19.488',4.820,0.720
'0:19.490',4.835,0.705
'0:19.492',4.825,0.710
'0:19.494',4.835,0.715
'0:19.496',4.825,0.715
'0:19.498',4.840,0.715
'0:19.500',4.850,0.710
'0:19.502',4.835,0.720
'0:19.504',4.820,0.725
'0:19.506',4.815,0.715
'0:19.508',4.830,0.720
'0:19.510',4.830,0.705
'0:19.512',4.830,0.715
'0:19.514',4.835,0.725
'0:19.516',4.855,0.710
'0:19.518',4.845,0.710
'0:19.520',4.820,0.715
'0:19.522',4.820,0.720
'0:19.524',4.825,0.715
'0:19.526',4.825,0.710
'0:19.528',4.830,0.710
'0:19.530',4.860,0.720
'0:19.532',4.845,0.710
'0:19.534',4.830,0.720
'0:19.536',4.820,0.720
'0:19.538',4.825,0.715
'0:19.540',4.815,0.710
'0:19.542',4.815,0.710
'0:19.544',4.840,0.715
'0:19.546',4.840,0.725
'0:19.548',4.845,0.720
'0:19.550',4.835,0.705
'0:19.552',4.825,0.715
'0:19.554',4.835,0.715
'0:19.556',4.815,0.720
'0:19.558',4.820,0.725
'0:19.560',4.840,0.705
'0:19.562',4.835,0.715
'0:19.564',4.840,0.720
'0:19.566',4.840,0.720
'0:19.568',4.840,0.725
'0:19.570',4.840,0.710
'0:19.572',4.830,0.710
'0:19.574',4.810,0.715
'0:19.576',4.825,0.715
'0:19.578',4.825,0.720
'0:19.580',4.840,0.715
'0:19.582',4.835,0.720
'0:19.584',4.830,0.720
'0:19.586',4.860,0.720
'0:19.588',4.845,0.710
'0:19.590',4.810,0.715
'0:19.592',4.820,0.720
'0:19.594',4.810,0.710
'0:19.596',4.830,0.715
'0:19.598',4.830,0.705
'0:19.600',4.835,0.720
'0:19.602',4.850,0.720
'0:19.604',4.850,0.710
'0:19.606',4.835,0.715
'0:19.608',4.835,0.705
'0:19.610',4.820,0.715
'0:19.612',4.815,0.715
'0:19.614',4.815,0.700
'0:19.616',4.820,0.725
'0:19.618',4.850,0.710
'0:19.620',4.845,0.715
'0:19.622',4.845,0.715
'0:19.624',4.835,0.705
'0:19.626',4.830,0.715
'0:19.628',4.835,0.715
'0:19.630',4.820,0.720
'0:19.632',4.825,0.705
'0:19.634',4.820,0.720
'0:19.636',4.840,0.720
'0:19.638',4.830,0.710
'0:19.640',4.820,0.710
'0:19.642',4.850,0.710
'0:19.644',4.845,0.710
'0:19.646',4.825,0.715
'0:19.648',4.835,0.720
'0:19.650',4.840,0.705
'0:19.652',4.830,0.725
'0:19.654',4.825,0.715
'0:19.656',4.840,0.715
'0:19.658',4.830,0.705
'0:19.660',4.830,0.710
'0:19.662',4.825,0.720
'0:19.664',4.850,0.725
'0:19.666',4.840,0.715
'0:19.668',4.825,0.715
'0:19.670',4.825,0.720
'0:19.672',4.825,0.710
'0:19.674',4.825,0.715
'0:19.676',4.825,0.715
'0:19.678',4.850,0.715
'0:19.680',4.845,0.710
'0:19.682',4.835,0.720
'0:19.684',4.825,0.715
'0:19.686',4.820,0.720
'0:19.688',4.820,0.705
'0:19.690',4.815,0.705
'0:19.692',4.825,0.715
'0:19.694',4.850,0.710
'0:19.696',4.840,0.725
'0:19.698',4.840,0.705
'0:19.700',4.835,0.715
'0:19.702',4.825,0.715
'0:19.704',4.830,0.715
'0:19.706',4.810,0.720
'0:19.708',4.840,0.710
'0:19.710',4.840,0.715
'0:19.712',4.835,0.715
'0:19.714',4.835,0.725
'0:19.716',4.840,0.715
'0:19.718',4.820,0.720
'0:19.720',4.820,0.720
'0:19.722',4.835,0.715
'0:19.724',4.840,0.700
'0:19.726',4.830,0.710
'0:19.728',4.835,0.715
'0:19.730',4.855,0.720
'0:19.732',4.840,0.720
'0:19.734',4.825,0.720
'0:19.736',4.830,0.725
'0:19.738',4.820,0.710
'0:19.740',4.830,0.720
'0:19.742',4.825,0.710
'0:19.744',4.820,0.710
'0:19.746',4.850,0.720
'0:19.748',4.855,0.710
'0:19.750',4.835,0.720
'0:19.752',4.830,0.720
'0:19.754',4.820,0.715
'0:19.756',4.825,0.720
'0:19.758',4.820,0.710
'0:19.760',4.815,0.710
'0:19.762',4.835,0.710
'0:19.764',4.845,0.720
'0:19.766',4.845,0.720
'0:19.768',4.845,0.710
'0:19.770',4.845,0.720
'0:19.772',4.840,0.715
'0:19.774',4.820,0.720
'0:19.776',4.810,0.715
'0:19.778',4.815,0.705
'0:19.780',4.835,0.715
'0:19.782',4.835,0.720
'0:19.784',4.840,0.720
'0:19.786',4.835,0.720
'0:19.788',4.860,0.705
'0:19.790',4.835,0.715
'0:19.792',4.825,0.715
'0:19.794',4.815,0.710
'0:19.796',4.830,0.720
'0:19.798',4.825,0.715
'0:19.800',4.835,0.710
'0:19.802',4.835,0.720
'0:19.804',4.840,0.720
'0:19.806',4.850,0.725
'0:19.808',4.845,0.700
'0:19.810',4.825,0.705
'0:19.812',4.820,0.720
'0:19.814',4.815,0.720
'0:19.816',4.830,0.720
'0:19.818',4.825,0.715
'0:19.820',4.835,0.720
'0:19.822',4.850,0.720
'0:19.824',4.840,0.710
'0:19.826',4.825,0.710
'0:19.828',4.830,0.705
'0:19.830',4.830,0.725
'0:19.832',4.825,0.720
'0:19.834',4.815,0.705
'0:19.836',4.825,0.720
'0:19.838',4.845,0.710
'0:19.840',4.840,0.715
'0:19.842',4.830,0.720
'0:19.844',4.830,0.700
'0:19.846',4.825,0.720
'0:19.848',4.830,0.715
'0:19.850',4.820,0.725
'0:19.852',4.830,0.725
'0:19.854',4.830,0.725
'0:19.856',4.855,0.705
'0:19.858',4.835,0.720
'0:19.860',4.830,0.720
'0:19.862',4.825,0.715
'0:19.864',4.825,0.725
'0:19.866',4.830,0.705
'0:19.868',4.835,0.720
'0:19.870',4.835,0.725
'0:19.872',4.840,0.705
'0:19.874',4.845,0.720
'0:19.876',4.830,0.705
'0:19.878',4.805,0.715
'0:19.880',4.825,0.720
'0:19.882',4.825,0.710
'0:19.884',4.840,0.720
'0:19.886',4.840,0.710
'0:19.888',4.840,0.715
'0:19.890',4.840,0.720
'0:19.892',4.820,0.700
'0:19.894',4.815,0.715
'0:19.896',4.815,0.715
'0:19.898',4.835,0.710
'0:19.900',4.840,0.720
'0:19.902',4.840,0.720
'0:19.904',4.840,0.705
'0:19.906',4.825,0.720
'0:19.908',4.845,0.715
'0:19.910',4.815,0.720
'0:19.912',4.810,0.720
'0:19.914',4.825,0.710
'0:19.916',4.840,0.715
'0:19.918',4.835,0.705
'0:19.920',4.840,0.720
'0:19.922',4.840,0.700
'0:19.924',4.850,0.710
'0:19.926',4.835,0.710
'0:19.928',4.825,0.715
'0:19.930',4.820,0.730
'0:19.932',4.820,0.715
'0:19.934',4.830,0.720
'0:19.936',4.830,0.720
'0:19.938',4.825,0.715
'0:19.940',4.850,0.720
'0:19.942',4.835,0.710
'0:19.944',4.835,0.710
'0:19.946',4.835,0.715
'0:19.948',4.835,0.720
'0:19.950',4.835,0.710
'0:19.952',4.830,0.720
'0:19.954',4.815,0.710
'0:19.956',4.820,0.710
'0:19.958',4.840,0.715
'0:19.960',4.835,0.705
'0:19.962',4.835,0.715
'0:19.964',4.840,0.710
'0:19.966',4.850,0.725
'0:19.968',4.840,0.720
'0:19.970',4.825,0.710
'0:19.972',4.805,0.715
'0:19.974',4.820,0.710
'0:19.976',4.820,0.715
'0:19.978',4.830,0.715
'0:19.980',4.830,0.705
'0:19.982',4.845,0.720
'0:19.984',4.850,0.720
'0:19.986',4.840,0.720
'0:19.988',4.830,0.700
'0:19.990',4.810,0.715
'0:19.992',4.825,0.710
'0:19.994',4.820,0.715
'0:19.996',4.820,0.720
'0:19.998',4.845,0.700
'0:20.000',4.850,0.715
'0:20.002',4.850,0.720
'0:20.004',4.845,0.715
'0:20.006',4.820,0.720
'0:20.008',4.835,0.700
'0:20.010',4.820,0.705
'0:20.012',4.815,0.715
'0:20.014',4.820,0.720
'0:20.016',4.845,0.725
'0:20.018',4.850,0.715
'0:20.020',4.835,0.720
'0:20.022',4.830,0.710
'0:20.024',4.835,0.715
'0:20.026',4.830,0.715
'0:20.028',4.805,0.705
'0:20.030',4.830,0.720
'0:20.032',4.835,0.710
'0:20.034',4.840,0.720
'0:20.036',4.840,0.710
'0:20.038',4.840,0.725
'0:20.040',4.850,0.720
'0:20.042',4.815,0.715
'0:20.044',4.805,0.715
'0:20.046',4.815,0.715
'0:20.048',4.835,0.720
'0:20.050',4.840,0.720
'0:20.052',4.835,0.710
'0:20.054',4.845,0.730
'0:20.056',4.845,0.710
'0:20.058',4.835,0.720
'0:20.060',4.820,0.710
'0:20.062',4.820,0.710
'0:20.064',4.840,0.715
'0:20.066',4.830,0.725
'0:20.068',4.830,0.725
'0:20.070',4.865,0.710
'0:20.072',4.845,0.715
'0:20.074',4.835,0.715
'0:20.076',4.830,0.715
'0:20.078',4.830,0.700
'0:20.080',4.820,0.720
'0:20.082',4.820,0.715
'0:20.084',4.850,0.720
'0:20.086',4.840,0.720
'0:20.088',4.840,0.710
'0:20.090',4.830,0.710
'0:20.092',4.825,0.710
'0:20.094',4.845,0.715
'0:20.096',4.820,0.705
'0:20.098',4.820,0.720
'0:20.100',4.835,0.720
'0:20.102',4.835,0.710
'0:20.104',4.835,0.720
'0:20.106',4.830,0.710
'0:20.108',4.830,0.715
'0:20.110',4.850,0.720
'0:20.112',4.825,0.700
'0:20.114',4.825,0.720
'0:20.116',4.820,0.710
'0:20.118',4.825,0.720
'0:20.120',4.825,0.705
'0:20.122',4.820,0.715
'0:20.124',4.840,0.710
'0:20.126',4.840,0.715
'0:20.128',4.825,0.700
'0:20.130',4.830,0.710
'0:20.132',4.840,0.725
'0:20.134',4.835,0.715
'0:20.136',4.815,0.725
'0:20.138',4.830,0.705
'0:20.140',4.820,0.720
'0:20.142',4.835,0.710
'0:20.144',4.820,0.720
'0:20.146',4.825,0.715
'0:20.148',4.855,0.720
'0:20.150',4.845,0.725
'0:20.152',4.840,0.720
'0:20.154',4.825,0.725
'0:20.156',4.825,0.705
'0:20.158',4.810,0.720
'0:20.160',4.805,0.715
'0:20.162',4.840,0.715
'0:20.164',4.845,0.705
'0:20.166',4.835,0.725
'0:20.168',4.830,0.720
'0:20.170',4.865,0.715
'0:20.172',4.830,0.705
'0:20.174',4.820,0.715
'0:20.176',4.815,0.715
'0:20.178',4.820,0.715
'0:20.180',4.820,0.725
'0:20.182',4.825,0.720
'0:20.184',4.850,0.720
'0:20.186',4.850,0.720
'0:20.188',4.835,0.720
'0:20.190',4.825,0.720
'0:20.192',4.835,0.715
'0:20.194',4.815,0.710
'0:20.196',4.810,0.725
'0:20.198',4.835,0.710
'0:20.200',4.830,0.720
'0:20.202',4.840,0.725
'0:20.204',4.840,0.705
'0:20.206',4.820,0.715
'0:20.208',4.835,0.715
'0:20.210',4.820,0.720
'0:20.212',4.800,0.710
'0:20.214',4.830,0.715
'0:20.216',4.830,0.720
'0:20.218',4.840,0.725
'0:20.220',4.850,0.710
'0:20.222',4.850,0.710
'0:20.224',4.825,0.715
'0:20.226',4.810,0.710
'0:20.228',4.815,0.715
'0:20.230',4.830,0.715
'0:20.232',4.825,0.720
'0:20.234',4.835,0.720
'0:20.236',4.855,0.730
'0:20.238',4.840,0.710
'0:20.240',4.820,0.715
'0:20.242',4.815,0.705
'0:20.244',4.825,0.720
'0:20.246',4.815,0.710
'0:20.248',4.845,0.720
'0:20.250',4.850,0.720
'0:20.252',4.840,0.720
'0:20.254',4.835,0.710
'0:20.256',4.810,0.725
'0:20.258',4.825,0.720
'0:20.260',4.805,0.705
'0:20.262',4.815,0.715
'0:20.264',4.845,0.715
'0:20.266',4.845,0.725
'0:20.268',4.840,0.710
'0:20.270',4.845,0.715
'0:20.272',4.840,0.715
'0:20.274',4.820,0.715
'0:20.276',4.810,0.725
'0:20.278',4.820,0.700
'0:20.280',4.825,0.720
'0:20.282',4.835,0.715
'0:20.284',4.845,0.720
'0:20.286',4.845,0.710
'0:20.288',4.855,0.710
'0:20.290',4.835,0.710
'0:20.292',4.820,0.710
'0:20.294',4.815,0.715
'0:20.296',4.825,0.705
'0:20.298',4.830,0.715
'0:20.300',4.820,0.720
'0:20.302',4.850,0.720
'0:20.304',4.845,0.710
'0:20.306',4.835,0.710
'0:20.308',4.830,0.715
'0:20.310',4.840,0.705
'0:20.312',4.840,0.715
'0:20.314',4.825,0.710
'0:20.316',4.820,0.725
'0:20.318',4.830,0.715
'0:20.320',4.840,0.720
'0:20.322',4.830,0.715
'0:20.324',4.830,0.715
'0:20.326',4.850,0.715
'0:20.328',4.835,0.705
'0:20.330',4.835,0.710
'0:20.332',4.830,0.715
'0:20.334',4.820,0.715
'0:20.336',4.830,0.725
'0:20.338',4.815,0.705
'0:20.340',4.825,0.720
'0:20.342',4.835,0.715
'0:20.344',4.840,0.715
'0:20.346',4.830,0.710
'0:20.348',4.845,0.710
'0:20.350',4.860,0.720
'0:20.352',4.845,0.715
'0:20.354',4.825,0.725
'0:20.356',4.820,0.705
'0:20.358',4.815,0.710
'0:20.360',4.825,0.715
'0:20.362',4.820,0.720
'0:20.364',4.860,0.705
'0:20.366',4.850,0.715
'0:20.368',4.845,0.720
'0:20.370',4.845,0.715
'0:20.372',4.840,0.700
'0:20.374',4.830,0.710
'0:20.376',4.810,0.715
'0:20.378',4.825,0.710
'0:20.380',4.835,0.725
'0:20.382',4.840,0.705
'0:20.384',4.840,0.720
'0:20.386',4.835,0.720
'0:20.388',4.855,0.715
'0:20.390',4.835,0.710
'0:20.392',4.820,0.715
'0:20.394',4.810,0.705
'0:20.396',4.825,0.720
'0:20.398',4.830,0.705
'0:20.400',4.825,0.720
'0:20.402',4.855,0.715
'0:20.404',4.850,0.710
'0:20.406',4.835,0.715
'0:20.408',4.825,0.710
'0:20.410',4.830,0.715
'0:20.412',4.810,0.710
'0:20.414',4.815,0.710
'0:20.416',4.835,0.710
'0:20.418',4.845,0.725
'0:20.420',4.845,0.725
'0:20.422',4.835,0.700
'0:20.424',4.820,0.720
'0:20.426',4.830,0.715
'0:20.428',4.815,0.715
'0:20.430',4.825,0.725
'0:20.432',4.855,0.705
'0:20.434',4.850,0.720
'0:20.436',4.850,0.720
'0:20.438',4.835,0.715
'0:20.440',4.820,0.725
'0:20.442',4.825,0.695
'0:20.444',4.820,0.715
'0:20.446',4.820,0.720
'0:20.448',4.850,0.720
'0:20.450',4.845,0.720
'0:20.452',4.840,0.710
'0:20.454',4.830,0.720
'0:20.456',4.815,0.715
'0:20.458',4.820,0.710
'0:20.460',4.820,0.715
'0:20.462',4.815,0.710
'0:20.464',4.840,0.720
'0:20.466',4.850,0.715
'0:20.468',4.845,0.725
'0:20.470',4.835,0.720
'0:20.472',4.830,0.715
'0:20.474',4.815,0.715
'0:20.476',4.805,0.715
'0:20.478',4.820,0.710
'0:20.480',4.830,0.715
'0:20.482',4.835,0.715
'0:20.484',4.835,0.715
'0:20.486',4.835,0.725
'0:20.488',4.860,0.710
'0:20.490',4.835,0.710
'0:20.492',4.820,0.715
'0:20.494',4.815,0.700
'0:20.496',4.810,0.715
'0:20.498',4.835,0.715
'0:20.500',4.835,0.720
'0:20.502',4.830,0.725
'0:20.504',4.845,0.705
'0:20.506',4.845,0.710
'0:20.508',4.845,0.720
'0:20.510',4.825,0.710
'0:20.512',4.820,0.725
'0:20.514',4.830,0.710
'0:20.516',4.830,0.720
'0:20.518',4.820,0.720
'0:20.520',4.840,0.720
'0:20.522',4.840,0.720
'0:20.524',4.835,0.710
'0:20.526',4.825,0.720
'0:20.528',4.835,0.715
'0:20.530',4.850,0.720
'0:20.532',4.835,0.710
'0:20.534',4.820,0.725
'0:20.536',4.825,0.710
'0:20.538',4.830,0.715
'0:20.540',4.820,0.710
'0:20.542',4.835,0.715
'0:20.544',4.840,0.705
'0:20.546',4.835,0.720
'0:20.548',4.840,0.715
'0:20.550',4.855,0.725
'0:20.552',4.840,0.715
'0:20.554',4.815,0.725
'0:20.556',4.815,0.710
'0:20.558',4.810,0.715
'0:20.560',4.825,0.715
'0:20.562',4.830,0.710
'0:20.564',4.840,0.720
'0:20.566',4.855,0.720
'0:20.568',4.845,0.725
'0:20.570',4.845,0.715
'0:20.572',4.825,0.710
'0:20.574',4.830,0.710
'0:20.576',4.810,0.720
'0:20.578',4.810,0.720
'0:20.580',4.840,0.710
'0:20.582',4.830,0.725
'0:20.584',4.840,0.715
'0:20.586',4.835,0.730
'0:20.588',4.835,0.720
'0:20.590',4.845,0.710
'0:20.592',4.825,0.715
'0:20.594',4.800,0.720
'0:20.596',4.815,0.725
'0:20.598',4.825,0.710
'0:20.600',4.835,0.725
'0:20.602',4.830,0.725
'0:20.604',4.845,0.715
'0:20.606',4.845,0.710
'0:20.608',4.835,0.710
'0:20.610',4.815,0.715
'0:20.612',4.820,0.720
'0:20.614',4.815,0.715
'0:20.616',4.835,0.720
'0:20.618',4.825,0.715
'0:20.620',4.825,0.720
'0:20.622',4.855,0.720
'0:20.624',4.840,0.705
'0:20.626',4.820,0.715
'0:20.628',4.810,0.715
'0:20.630',4.815,0.715
'0:20.632',4.835,0.720
'0:20.634',4.840,0.710
'0:20.636',4.840,0.720
'0:20.638',4.860,0.715
'0:20.640',4.840,0.715
'0:20.642',4.820,0.715
'0:20.644',4.810,0.705
'0:20.646',4.815,0.710
'0:20.648',4.835,0.715
'0:20.650',4.835,0.725
'0:20.652',4.835,0.720
'0:20.654',4.835,0.725
'0:20.656',4.860,0.715
'0:20.658',4.830,0.715
'0:20.660',4.820,0.715
'0:20.662',4.820,0.715
'0:20.664',4.820,0.715
'0:20.666',4.835,0.720
'0:20.668',4.835,0.720
'0:20.670',4.830,0.725
'0:20.672',4.855,0.710
'0:20.674',4.845,0.720
'0:20.676',4.820,0.705
'0:20.678',4.820,0.715
'0:20.680',4.815,0.720
'0:20.682',4.830,0.715
'0:20.684',4.825,0.715
'0:20.686',4.825,0.715
'0:20.688',4.845,0.720
'0:20.690',4.830,0.710
'0:20.692',4.830,0.710
'0:20.694',4.830,0.705
'0:20.696',4.825,0.720
'0:20.698',4.845,0.720
'0:20.700',4.825,0.710
'0:20.702',4.815,0.720
'0:20.704',4.820,0.715
'0:20.706',4.825,0.720
'0:20.708',4.820,0.695
'0:20.710',4.820,0.710
'0:20.712',4.835,0.710
'0:20.714',4.865,0.715
'0:20.716',4.840,0.725
'0:20.718',4.835,0.715
'0:20.720',4.825,0.720
'0:20.722',4.825,0.715
'0:20.724',4.820,0.715
'0:20.726',4.820,0.720
'0:20.728',4.835,0.700
'0:20.730',4.845,0.715
'0:20.732',4.845,0.715
'0:20.734',4.845,0.715
'0:20.736',4.840,0.725
'0:20.738',4.840,0.700
'0:20.740',4.825,0.720
'0:20.742',4.805,0.715
'0:20.744',4.820,0.720
'0:20.746',4.835,0.710
'0:20.748',4.840,0.715
'0:20.750',4.830,0.720
'0:20.752',4.845,0.720
'0:20.754',4.860,0.720
'0:20.756',4.830,0.705
'0:20.758',4.820,0.715
'0:20.760',4.810,0.715
'0:20.762',4.825,0.710
'0:20.764',4.825,0.720
'0:20.766',4.830,0.715
'0:20.768',4.860,0.715
'0:20.770',4.845,0.720
'0:20.772',4.845,0.715
'0:20.774',4.835,0.710
'0:20.776',4.810,0.710
'0:20.778',4.825,0.715
'0:20.780',4.815,0.710
'0:20.782',4.820,0.725
'0:20.784',4.840,0.705
'0:20.786',4.840,0.715
