'Elapsed time','FECG','UC'
'hh:mm:ss.mmm','mV','mV'
'0:00.420',4.850,0.730
'0:00.422',4.845,0.710
'0:00.424',4.835,0.715
'0:00.426',4.840,0.720
'0:00.428',4.830,0.715
'0:00.430',4.810,0.730
'0:00.432',4.810,0.730
'0:00.434',4.850,0.715
'0:00.436',4.840,0.730
'0:00.438',4.845,0.730
'0:00.440',4.840,0.730
'0:00.442',4.825,0.715
'0:00.444',4.855,0.710
'0:00.446',4.825,0.720
'0:00.448',4.820,0.720
'0:00.450',4.835,0.735
'0:00.452',4.835,0.715
'0:00.454',4.835,0.720
'0:00.456',4.840,0.730
'0:00.458',4.855,0.725
'0:00.460',4.845,0.715
'0:00.462',4.825,0.725
'0:00.464',4.830,0.725
'0:00.466',4.820,0.720
'0:00.468',4.835,0.725
'0:00.470',4.830,0.720
'0:00.472',4.850,0.730
'0:00.474',4.850,0.730
'0:00.476',4.830,0.720
'0:00.478',4.830,0.705
'0:00.480',4.820,0.725
'0:00.482',4.830,0.730
'0:00.484',4.825,0.720
'0:00.486',4.825,0.725
'0:00.488',4.845,0.730
'0:00.490',4.845,0.730
'0:00.492',4.835,0.710
'0:00.494',4.825,0.715
'0:00.496',4.850,0.715
'0:00.498',4.825,0.730
'0:00.500',4.820,0.730
'0:00.502',4.835,0.715
'0:00.504',4.845,0.725
'0:00.506',4.840,0.735
'0:00.508',4.840,0.725
'0:00.510',4.860,0.720
'0:00.512',4.845,0.720
'0:00.514',4.825,0.725
'0:00.516',4.820,0.730
'0:00.518',4.835,0.715
'0:00.520',4.835,0.725
'0:00.522',4.830,0.730
'0:00.524',4.850,0.725
'0:00.526',4.840,0.710
'0:00.528',4.835,0.725
'0:00.530',4.825,0.730
'0:00.532',4.850,0.725
'0:00.534',4.825,0.720
'0:00.536',4.820,0.730
'0:00.538',4.840,0.730
'0:00.540',4.845,0.720
'0:00.542',4.825,0.725
'0:00.544',4.835,0.720
'0:00.546',4.860,0.720
'0:00.548',4.835,0.715
'0:00.550',4.820,0.730
'0:00.552',4.825,0.730
'0:00.554',4.830,0.730
'0:00.556',4.830,0.715
'0:00.558',4.820,0.720
'0:00.560',4.845,0.715
'0:00.562',4.840,0.720
'0:00.564',4.830,0.720
'0:00.566',4.830,0.720
'0:00.568',4.820,0.730
'0:00.570',4.835,0.720
'0:00.572',4.825,0.725
'0:00.574',4.815,0.730
'0:00.576',4.845,0.705
'0:00.578',4.840,0.725
'0:00.580',4.840,0.720
'0:00.582',4.835,0.725
'0:00.584',4.845,0.715
'0:00.586',4.835,0.730
'0:00.588',4.825,0.725
'0:00.590',4.820,0.725
'0:00.592',4.840,0.720
'0:00.594',4.835,0.710
'0:00.596',4.840,0.720
'0:00.598',4.835,0.730
'0:00.600',4.855,0.725
'0:00.602',4.835,0.725
'0:00.604',4.820,0.730
'0:00.606',4.835,0.730
'0:00.608',4.825,0.715
'0:00.610',4.830,0.730
'0:00.612',4.835,0.725
'0:00.614',4.830,0.725
'0:00.616',4.860,0.725
'0:00.618',4.845,0.730
'0:00.620',4.835,0.720
'0:00.622',4.830,0.730
'0:00.624',4.830,0.720
'0:00.626',4.815,0.710
'0:00.628',4.820,0.715
'0:00.630',4.855,0.720
'0:00.632',4.850,0.725
'0:00.634',4.850,0.735
'0:00.636',4.850,0.725
'0:00.638',4.845,0.725
'0:00.640',4.845,0.720
'0:00.642',4.820,0.730
'0:00.644',4.805,0.720
'0:00.646',4.835,0.720
'0:00.648',4.830,0.720
'0:00.650',4.840,0.725
'0:00.652',4.845,0.730
'0:00.654',4.865,0.710
'0:00.656',4.850,0.720
'0:00.658',4.830,0.720
'0:00.660',4.825,0.720
'0:00.662',4.815,0.725
'0:00.664',4.825,0.715
'0:00.666',4.830,0.735
'0:00.668',4.830,0.725
'0:00.670',4.870,0.725
'0:00.672',4.850,0.730
'0:00.674',4.845,0.710
'0:00.676',4.825,0.720
'0:00.678',4.815,0.710
'0:00.680',4.825,0.725
'0:00.682',4.825,0.725
'0:00.684',4.830,0.725
'0:00.686',4.870,0.725
'0:00.688',4.855,0.715
'0:00.690',4.850,0.725
'0:00.692',4.830,0.725
'0:00.694',4.815,0.720
'0:00.696',4.820,0.715
'0:00.698',4.815,0.725
'0:00.700',4.820,0.730
'0:00.702',4.855,0.725
'0:00.704',4.855,0.720
'0:00.706',4.850,0.730
'0:00.708',4.840,0.730
'0:00.710',4.845,0.720
'0:00.712',4.815,0.720
'0:00.714',4.830,0.715
'0:00.716',4.820,0.735
'0:00.718',4.825,0.740
'0:00.720',4.860,0.715
'0:00.722',4.845,0.720
'0:00.724',4.845,0.730
'0:00.726',4.830,0.720
'0:00.728',4.860,0.715
'0:00.730',4.830,0.720
'0:00.732',4.820,0.735
'0:00.734',4.835,0.730
'0:00.736',4.835,0.725
'0:00.738',4.840,0.720
'0:00.740',4.830,0.725
'0:00.742',4.835,0.715
'0:00.744',4.850,0.725
'0:00.746',4.845,0.710
'0:00.748',4.830,0.725
'0:00.750',4.835,0.725
'0:00.752',4.830,0.725
'0:00.754',4.825,0.720
'0:00.756',4.835,0.725
'0:00.758',4.840,0.720
'0:00.760',4.845,0.720
'0:00.762',4.840,0.710
'0:00.764',4.835,0.710
'0:00.766',4.830,0.725
'0:00.768',4.825,0.730
'0:00.770',4.840,0.730
'0:00.772',4.835,0.725
'0:00.774',4.830,0.720
'0:00.776',4.850,0.720
'0:00.778',4.840,0.725
'0:00.780',4.840,0.725
'0:00.782',4.825,0.720
'0:00.784',4.830,0.725
'0:00.786',4.825,0.730
'0:00.788',4.830,0.725
'0:00.790',4.835,0.735
'0:00.792',4.830,0.720
'0:00.794',4.855,0.720
'0:00.796',4.840,0.720
'0:00.798',4.830,0.735
'0:00.800',4.830,0.740
'0:00.802',4.840,0.720
'0:00.804',4.825,0.735
'0:00.806',4.830,0.730
'0:00.808',4.850,0.730
'0:00.810',4.845,0.715
'0:00.812',4.840,0.720
'0:00.814',4.840,0.735
